route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
4930,c_20963_b_28680_d_127,t_1310232_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310231_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310230_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310229_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310228_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310227_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310212_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310211_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310210_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310209_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310208_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310207_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310206_b_28680_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310203_b_28680_tn_0,,East L.A. College,0,,p_8195,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310156_b_28680_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310155_b_28680_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
