,trip_id,stop_sequence,stop_id,route_code
2469,10115004391603-JUNE23,94,2330,115.0
2470,70260003030629-JUNE23,94,30014,260.0
2471,70260003031436-JUNE23,94,30014,260.0
2472,70260003031314-JUNE23,94,30014,260.0
2473,60260003031516-JUNE23,94,30014,260.0
2474,60260003031352-JUNE23,94,30014,260.0
2475,60260003031314-JUNE23,94,30014,260.0
2476,60260003031234-JUNE23,94,30014,260.0
2477,60260003031154-JUNE23,94,30014,260.0
2478,60260003031116-JUNE23,94,30014,260.0
2479,60260003031036-JUNE23,94,30014,260.0
2480,60260003030956-JUNE23,94,30014,260.0
2481,60260003030920-JUNE23,94,30014,260.0
2482,60260003030838-JUNE23,94,30014,260.0
2483,60260003030815-JUNE23,94,30014,260.0
2484,60260003030729-JUNE23,94,30014,260.0
2485,60260003030659-JUNE23,94,30014,260.0
2486,60260003030629-JUNE23,94,30014,260.0
2487,60260003030559-JUNE23,94,30014,260.0
2488,60260003030527-JUNE23,94,30014,260.0
2489,60232000940504-JUNE23,94,5569,232.0
2490,60232000940533-JUNE23,94,5569,232.0
2491,60260003031436-JUNE23,94,30014,260.0
2492,60260003031536-JUNE23,94,30014,260.0
2493,60232000940627-JUNE23,94,5569,232.0
2494,60260003031556-JUNE23,94,30014,260.0
2495,60251001902221-JUNE23,94,9313,251.0
2496,60251001902301-JUNE23,94,9313,251.0
2497,60251001902343-JUNE23,94,9313,251.0
2498,60251001902443-JUNE23,94,9313,251.0
2499,60260003032232-JUNE23,94,30014,260.0
2500,60260003032145-JUNE23,94,30014,260.0
2501,60260003032046-JUNE23,94,30014,260.0
2502,60260003032010-JUNE23,94,30014,260.0
2503,60260003031935-JUNE23,94,30014,260.0
2504,60260003031902-JUNE23,94,30014,260.0
2505,60260003031831-JUNE23,94,30014,260.0
2506,60260003031800-JUNE23,94,30014,260.0
2507,60260003031737-JUNE23,94,30014,260.0
2508,60260003031717-JUNE23,94,30014,260.0
2509,60260003031657-JUNE23,94,30014,260.0
2510,60260003031637-JUNE23,94,30014,260.0
2511,60260003031616-JUNE23,94,30014,260.0
2512,60232000940559-JUNE23,94,5569,232.0
2513,60232000940656-JUNE23,94,5569,232.0
2514,70260003031352-JUNE23,94,30014,260.0
2515,60232000941856-JUNE23,94,5569,232.0
2516,10260003031439-JUNE23,94,30014,260.0
2517,10260003031503-JUNE23,94,30014,260.0
2518,10260003031527-JUNE23,94,30014,260.0
2519,10260003031552-JUNE23,94,30014,260.0
2520,10260003031616-JUNE23,94,30014,260.0
2521,10260003031640-JUNE23,94,30014,260.0
2522,10260003032237-JUNE23,94,30014,260.0
2523,10260003032201-JUNE23,94,30014,260.0
2524,10260003032132-JUNE23,94,30014,260.0
2525,10260003032057-JUNE23,94,30014,260.0
2526,10260003032026-JUNE23,94,30014,260.0
2527,10260003031956-JUNE23,94,30014,260.0
2528,10260003031924-JUNE23,94,30014,260.0
2529,60010008131934-JUNE23,94,7830,48.0
2530,10260003031853-JUNE23,94,30014,260.0
2531,10260003031818-JUNE23,94,30014,260.0
2532,10260003031754-JUNE23,94,30014,260.0
2533,60232000941940-JUNE23,94,5569,232.0
2534,60232000941741-JUNE23,94,5569,232.0
2535,60232000940724-JUNE23,94,5569,232.0
2536,60232000941639-JUNE23,94,5569,232.0
